sample_id,query,asv_read_index,asv_read_raw,asv_pa,terrestrial,holoplankton
GH001,ASV3714,0,0,0,0,0
GH001,ASV3740,0,0,0,0,0
GH001,ASV3763,0,0,0,0,1
GH001,ASV3768,0,0,0,0,0
GH001,ASV3775,0,0,0,0,0
GH001,ASV3810,0,0,0,0,0
GH001,ASV3847,0,0,0,0,0
GH001,ASV3894,0,0,0,0,0
GH001,ASV4085,0,0,0,0,0
GH001,ASV4110,0,0,0,0,0
GH001,ASV4113,0,0,0,0,0
GH001,ASV4141,0,0,0,0,0
GH001,ASV4161,0,0,0,1,0
GH001,ASV4170,0,0,0,0,0
GH001,ASV4179,0,0,0,0,0
GH001,ASV4215,0,0,0,0,0
GH001,ASV4218,0,0,0,0,0
GH001,ASV4219,0,0,0,0,0
GH001,ASV4247,0,0,0,0,0
GH001,ASV4294,0,0,0,0,0
GH001,ASV4366,0,0,0,0,0
GH001,ASV4374,0,0,0,0,0
GH001,ASV4394,0,0,0,0,0
GH001,ASV4401,0,0,0,0,0
GH001,ASV4413,0,0,0,0,0
GH001,ASV4417,0,0,0,0,0
GH001,ASV4450,0,0,0,0,0
GH001,ASV4453,0,0,0,0,0
GH001,ASV4483,0,0,0,0,0
GH001,ASV4509,0,0,0,0,0
GH001,ASV4542,0,0,0,0,0
GH001,ASV4595,0,0,0,0,1
GH001,ASV4687,0,0,0,0,0
GH001,ASV4733,0,0,0,0,0
GH001,ASV4788,0,0,0,0,0
GH001,ASV4832,0,0,0,0,0
GH001,ASV4839,0,0,0,0,0
GH001,ASV4862,0,0,0,0,0
GH001,ASV4884,0,0,0,0,0
GH001,ASV4892,0,0,0,0,0
GH001,ASV4950,0,0,0,0,0
GH001,ASV4990,0,0,0,0,0
GH001,ASV5114,0,0,0,0,0
GH001,ASV5118,0,0,0,0,0
GH002,ASV5,0.2257616316064776,2657,1,0,1
GH002,ASV36,0.2277885484526187,1123,1,0,1
GH002,ASV38,0,0,0,0,0
GH002,ASV39,0.649322335691139,9277,1,0,1
GH002,ASV44,0.751487597530425,6083,1,0,1
GH002,ASV56,0.0692183177753525,512,1,0,1
GH002,ASV76,0,0,0,0,0
GH002,ASV77,0,0,0,0,0
GH002,ASV95,0,0,0,0,0
GH002,ASV105,0,0,0,0,1
GH002,ASV108,1,3680,1,0,1
GH002,ASV109,0.4971353182570841,482,1,0,1
GH002,ASV126,0,0,0,0,0
GH002,ASV129,0,0,0,0,1
GH002,ASV132,0,0,0,0,1
GH002,ASV150,0,0,0,0,0
GH002,ASV153,0.5160439364897352,569,1,0,1
GH002,ASV155,0,0,0,0,1
GH002,ASV161,0.4761907059443299,391,1,0,1
GH002,ASV163,0,0,0,0,0
GH002,ASV176,0,0,0,0,0
GH002,ASV185,0,0,0,0,1
GH002,ASV194,0,0,0,0,0
GH002,ASV195,0,0,0,0,0
GH002,ASV213,0,0,0,0,0
GH002,ASV216,1,5896,1,0,1
GH002,ASV245,0,0,0,0,1
GH002,ASV248,0,0,0,0,1
GH002,ASV256,0,0,0,0,0
GH002,ASV257,0,0,0,0,1
GH002,ASV260,0,0,0,0,1
GH002,ASV265,0,0,0,0,0
GH002,ASV292,0,0,0,0,0
GH002,ASV299,0,0,0,0,1
GH002,ASV309,0,0,0,0,1
GH002,ASV310,0,0,0,0,0
GH002,ASV323,0,0,0,0,0
GH002,ASV332,0,0,0,0,0
GH002,ASV342,0,0,0,0,1
GH002,ASV352,0,0,0,0,1
GH002,ASV357,0,0,0,0,0
GH002,ASV358,0,0,0,0,1
GH002,ASV377,0,0,0,0,0
GH002,ASV378,0,0,0,0,1
GH002,ASV381,0,0,0,0,0
GH002,ASV384,0,0,0,0,1
GH002,ASV387,0,0,0,0,0
GH002,ASV391,0,0,0,0,0
GH002,ASV393,0,0,0,0,1
GH002,ASV396,0,0,0,0,0
GH002,ASV398,0,0,0,0,0
GH002,ASV404,0,0,0,0,1
GH002,ASV413,0,0,0,0,0
GH002,ASV417,0,0,0,0,0
GH002,ASV419,0,0,0,0,1
GH002,ASV429,0,0,0,0,1
GH002,ASV439,0,0,0,0,0
GH002,ASV440,0,0,0,0,0
GH002,ASV452,0,0,0,0,1
GH002,ASV460,0,0,0,0,1
GH002,ASV469,0,0,0,0,1
GH002,ASV470,0,0,0,0,0
GH002,ASV472,0,0,0,0,0
GH002,ASV475,0,0,0,0,0
GH002,ASV476,0,0,0,0,0
GH002,ASV477,0,0,0,0,0
GH002,ASV480,0,0,0,0,0
