sample_id,query,asv_read_index,asv_read_raw,asv_pa,kingdom,metazoa_terrestrial
GH001,ASV379,0,0,0,Metazoa,0
GH001,ASV380,0,0,0,Metazoa,0
GH001,ASV381,0,0,0,Metazoa,0
GH001,ASV382,0,0,0,NA,0
GH001,ASV383,0.15015297717109907,69,1,Metazoa,0
GH001,ASV384,0,0,0,Metazoa,0
GH001,ASV385,0,0,0,Metazoa,0
GH001,ASV386,0,0,0,Metazoa,0
GH001,ASV387,0,0,0,Metazoa,0
GH001,ASV388,0,0,0,Metazoa,0
GH001,ASV389,0,0,0,Metazoa,0
GH001,ASV390,0,0,0,NA,0
GH001,ASV391,0,0,0,Metazoa,0
GH001,ASV392,0,0,0,Metazoa,0
GH001,ASV393,0,0,0,Metazoa,0
GH001,ASV394,0,0,0,Metazoa,0
GH001,ASV395,0,0,0,Metazoa,0
GH001,ASV396,0,0,0,Metazoa,0
GH001,ASV397,0,0,0,Metazoa,0
GH001,ASV398,0,0,0,Metazoa,0
GH001,ASV399,0,0,0,Metazoa,0
GH001,ASV400,0,0,0,Metazoa,0
GH001,ASV401,0,0,0,Metazoa,0
GH001,ASV402,0,0,0,Metazoa,0
GH001,ASV403,0,0,0,Metazoa,0
GH001,ASV404,0,0,0,Metazoa,0
GH001,ASV405,0,0,0,Metazoa,0
GH001,ASV406,0,0,0,Metazoa,0
GH001,ASV407,0,0,0,NA,0
GH001,ASV408,0,0,0,Metazoa,0
GH001,ASV409,0,0,0,Metazoa,0
GH001,ASV410,0,0,0,Metazoa,0
GH001,ASV411,0,0,0,Metazoa,0
GH001,ASV412,0,0,0,NA,0
GH001,ASV413,0,0,0,Metazoa,0
GH001,ASV414,0,0,0,NA,0
GH001,ASV415,0,0,0,Metazoa,0
GH001,ASV416,0,0,0,Metazoa,0
GH001,ASV417,0,0,0,Metazoa,0
GH001,ASV418,0,0,0,Metazoa,1
GH001,ASV419,0,0,0,Metazoa,0
GH001,ASV420,0,0,0,Metazoa,0
GH001,ASV421,0,0,0,Metazoa,0
GH001,ASV422,0,0,0,Metazoa,0
GH001,ASV423,0,0,0,Metazoa,0
GH001,ASV424,0,0,0,Metazoa,0
GH001,ASV425,0,0,0,Metazoa,0
GH001,ASV426,0,0,0,Metazoa,0
GH001,ASV427,0,0,0,Metazoa,0
GH001,ASV428,0,0,0,Metazoa,0
GH001,ASV429,0,0,0,Metazoa,0
GH001,ASV430,0,0,0,Metazoa,0
GH001,ASV431,0,0,0,Metazoa,0
GH001,ASV432,0,0,0,NA,0
GH001,ASV433,0,0,0,Metazoa,0
GH001,ASV434,0,0,0,Metazoa,0
GH001,ASV435,0,0,0,Metazoa,0
GH001,ASV436,0,0,0,Metazoa,0
GH001,ASV437,0,0,0,Metazoa,0
GH001,ASV438,0,0,0,Metazoa,0
GH001,ASV439,0,0,0,Metazoa,0
GH001,ASV440,0,0,0,Metazoa,0
GH001,ASV441,0,0,0,Metazoa,0
GH001,ASV442,0,0,0,Metazoa,0
GH001,ASV443,0,0,0,Metazoa,0
GH001,ASV444,0,0,0,Metazoa,0
GH001,ASV445,0,0,0,Metazoa,0
GH001,ASV446,0,0,0,Metazoa,0
GH001,ASV447,0,0,0,Metazoa,0
GH001,ASV448,0,0,0,Metazoa,0
GH001,ASV449,0,0,0,Metazoa,0
GH001,ASV450,0,0,0,Metazoa,0
GH001,ASV451,0,0,0,Metazoa,0
GH001,ASV452,0,0,0,Metazoa,0
GH001,ASV453,0,0,0,Metazoa,0
GH001,ASV454,0,0,0,Metazoa,0
GH001,ASV455,0,0,0,Metazoa,0
GH001,ASV456,0,0,0,Metazoa,0
GH001,ASV457,0,0,0,Metazoa,0
